	17-AAG
MEL-HO	2.6234610000000003
MEL-JUSO	4.431589
MES-SA	4.098669999999999
Mewo	2.228223
MFE-280	0.591897
MFE-296	2.0522080000000003
MFH-ino	1.448731
MFM-223	0.9012459999999999
MG-63	0.761323
MHH-CALL-2	0.611577
MHH-ES-1	1.338169
MHH-NB-11	1.5591139999999999
MHH-PREB-1	4.914814
MIA-PaCa-2	5.65629
MKN1	0.5313140000000001
MKN28	0.338972
MKN45	2.498754
MKN7	2.395753
ML-2	1.2705540000000002
MMAC-SF	2.250842
MN-60	4.9449
MOLT-13	4.50137
MOLT-16	3.4966730000000004
MOLT-4	3.263975
MONO-MAC-6	0.814408
MPP-89	0.788883
MRK-nu-1	4.151942
MS-1	2.000301
MSTO-211H	0.584078
MZ2-MEL	2.681957
MZ7-mel	1.3958270000000002
NALM-6	2.705731
NB10	0.12525899999999998
NB12	0.304802
NB13	0.9988969999999999
NB14	2.780563
NB17	0.12755
NB5	1.254731
NB6	3.4746839999999994
NB69	1.3061040000000002
NB7	0.097847
NBsusSR	0.544654
NCI-H1048	1.239398
NCI-H1092	4.03958
NCI-H1155	1.503944
NCI-H1299	1.814902
NCI-H1355	1.270312
NCI-H1395	1.6776
NCI-H1437	1.508027
NCI-H1563	0.052717999999999994
NCI-H1573	0.785939
NCI-H1650	1.606609
NCI-H1666	2.057737
NCI-H1693	3.027741
NCI-H1703	3.9531690000000004
NCI-H1755	2.758156
NCI-H1770	0.639987
NCI-H1792	2.341487
NCI-H1793	0.954242
NCI-H1838	0.309729
NCI-H1975	2.445963
NCI-H1993	2.058043
NCI-H2009	1.7240090000000001
NCI-H2029	1.1708610000000002
NCI-H2030	2.916156
NCI-H2052	0.266253
NCI-H2087	1.750541
NCI-H209	1.458613
NCI-H2126	0.5653630000000001
NCI-H2141	3.3688559999999996
NCI-H2170	1.7409279999999998
NCI-H2227	0.793127
NCI-H2228	1.039668
NCI-H226	0.6384770000000001
NCI-H2291	0.7361300000000001
NCI-H23	3.441437
NCI-H2342	2.721584
NCI-H2347	1.907932
NCI-H2405	1.0604200000000001
NCI-H2452	1.969281
NCI-H28	2.135636
NCI-H292	2.031765
NCI-H345	3.63654
NCI-H358	0.37503600000000004
NCI-H441	0.704765
NCI-H446	4.463196
NCI-H460	3.925179
NCI-H510A	0.502545
NCI-H520	0.949264
NCI-H522	0.130302
NCI-H524	3.8123769999999997
NCI-H526	2.282419
NCI-H596	0.371981
NCI-H630	2.8245720000000003
NCI-H650	1.732606
NCI-H661	1.0535860000000001
NCI-H727	0.096708
NCI-H747	1.420112
NCI-H810	1.481004
NCI-H82	3.918419
NCI-H838	2.876657
NCI-N87	3.6523519999999996
NCI-SNU-1	2.179783
NCI-SNU-16	0.48836
NCI-SNU-5	3.7402300000000004
NEC8	1.3656030000000001
NH-12	0.765498
NKM-1	1.732768
NMC-G1	1.2283540000000002
no-10	0.9358860000000001
no-11	0.9955959999999999
NOMO-1	0.005679999999999999
NOS-1	0.025426
NUGC-3	1.932566
NY	1.290234
OAW-28	4.141692
OAW-42	0.168107
OC-314	1.426626
OCI-AML2	2.017963
OCUB-M	2.6504380000000003
OE19	3.4810849999999998
OE33	0.16133599999999998
OMC-1	2.1373189999999997
ONS-76	1.52159
OPM-2	4.625262
OS-RC-2	1.40614
OVCAR-3	0.521871
OVCAR-4	0.528313
OVCAR-5	3.3582370000000004
OVCAR-8	2.450844
P12-ICHIKAWA	4.952337
P30-OHK	3.188989
P31-FUJ	4.366701
PA-1	0.306693
PANC-03-27	2.274409
PANC-08-13	0.631545
PANC-10-05	0.887461
PC-14	3.195918
PC-3	2.5352509999999997
PF-382	4.300226
PFSK-1	1.317105
PSN1	3.07844
QIMR-WIL	3.2843050000000003
Raji	3.877914
Ramos-2G6-4C10	4.0517080000000005
RCC10RGB	2.615278
RCM-1	0.053610000000000005
RD	1.654791
REH	3.928829
RERF-LC-MS	0.292856
RH-1	2.060824
RH-18	0.12313199999999999
RKO	2.140116
RL	3.0804419999999997
RMG-I	4.034902
RO82-W-1	0.92384
RPMI-2650	1.473222
RPMI-6666	1.5226790000000001
RPMI-7951	5.364941
RPMI-8226	1.216273
RPMI-8402	4.395245
RPMI-8866	0.261312
RS4-11	4.431245
RT-112	1.963627
RVH-421	1.654628
RXF393	2.003833
S-117	1.178236
Saos-2	0.1293
SAS	2.06439
SBC-1	3.80875
SBC-5	1.6035469999999998
SCC-15	0.872599
SCC-25	1.4039409999999999
SCC-4	1.7272610000000002
SCC-9	1.7887810000000002
SCH	4.098068
SF126	3.440604
SF268	0.8764069999999999
SF295	2.740785
SF539	2.705835
SHP-77	0.099981
SiHa	2.2551490000000003
SIMA	4.3765339999999995
SJRH30	0.714187
SJSA-1	1.144217
SK-CO-1	2.9601990000000002
SK-HEP-1	2.4650950000000003
SK-LMS-1	0.569246
SK-LU-1	3.479453
SK-MEL-2	2.131625
SK-MEL-24	1.975454
SK-MEL-28	2.178481
SK-MEL-3	1.059908
SK-MEL-30	0.092279
SK-MEL-5	0.8216959999999999
SK-MES-1	3.322634
SK-MG-1	2.310743
SK-MM-2	3.528741
SK-N-AS	1.237539
SK-N-DZ	0.894603
SK-N-FI	1.578997
SK-NEP-1	1.134796
SK-OV-3	1.244106
SK-UT-1	3.449018
SKG-IIIa	2.998485
SKM-1	1.633041
SN12C	2.291934
SNG-M	2.051487
SNU-387	0.640241
SNU-423	2.237157
SNU-449	3.213828
SNU-C1	0.7449399999999999
SNU-C2B	0.440558
SR	2.724834
ST486	3.230555
SUP-T1	1.681743
SW1088	1.807106
SW1116	3.0414790000000003
SW13	2.497667
SW1417	0.547249
SW1463	3.169264
SW1573	1.9133959999999999
SW1710	1.220976
SW1783	1.078911
SW1990	2.107273
SW48	2.9879700000000002
SW620	1.709066
SW626	1.0926639999999999
SW684	2.719482
SW780	3.169389
SW837	0.10394400000000001
SW872	1.894918
SW900	0.07538500000000001
SW948	2.07449
SW954	1.230073
SW962	3.2326080000000004
SW982	3.5068300000000003
T-24	1.1038569999999999
T47D	3.020349
T84	2.937549
T98G	3.193536
TC-YIK	0.621035
TCCSUP	2.819345
TE-1	2.385573
TE-10	0.88075
TE-11	2.10688
TE-12	1.635138
TE-15	1.908581
TE-5	2.0032330000000003
TE-6	1.35674
TE-8	2.1835720000000003
TE-9	1.523907
TGBC11TKB	1.841594
TGBC1TKB	2.520414
TGBC24TKB	0.0008359999999999999
TGW	4.7395760000000005
TK10	1.464602
TT	2.934915
TUR	2.955796
TYK-nu	3.2225740000000003
U-118-MG	1.288102
U-2-OS	1.761842
U-266	2.0989709999999997
U-698-M	3.427811
U-87-MG	2.2723869999999997
U031	1.582466
U251	2.251425
UACC-257	0.556999
UACC-62	1.132366
UM-UC-3	0.7881199999999999
UMC-11	0.59359
VA-ES-BJ	3.112876
VM-CUB-1	3.3084010000000004
VMRC-RCZ	1.983223
WM-115	3.2802290000000003
WSU-NHL	1.32155
YAPC	0.796736
YH-13	2.860796
YKG-1	2.9815669999999996
ZR-75-30	0.651604
